업체명,위도,경도,url
아리아모텔,35.11647811,129.0387307,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
3.6.9 모텔,35.11660109,129.0413912,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
369모텔,35.11659428,129.0413948,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
부산인모텔,35.11652083,129.0415268,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
아스티호텔,35.11617411,129.0417928,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
광장관광호텔,35.11619244,129.0413443,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
코리아나모텔,35.11724523,129.0399424,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
은하모텔,35.11741119,129.0398661,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
코리안모텔,35.11753814,129.0401639,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
태아장모텔,35.11769539,129.040114,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
더비에스호텔,35.11856186,129.0425935,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
센텀모텔,35.1184087,129.0425212,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
하운드호텔 부산역,35.11775044,129.0426829,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
플러스모텔,35.11875401,129.0409266,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
호텔그레이초량,35.12210939,129.0443324,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
호텔포레,35.12258841,129.0445878,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
호텔포레 부산역점,35.12257601,129.0446127,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
OJ모텔,35.1238101,129.0453933,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
스마일모텔,35.11673391,129.0390275,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
샤이어호텔,35.11763698,129.0399496,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
귀빈모텔,35.11570063,129.0387527,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
디노호텔,35.11587351,129.0387715,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
콜모텔,35.11608219,129.0386183,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
오션모텔,35.11560152,129.0386132,https://cdn.pixabay.com/photo/2018/06/14/21/15/bedroom-3475656_1280.jpg
